<?[a-z0-9._%+-]+@[a-z0-9.-]+\.[a-z]{2,4}>?	EMAIL	2
chimney sweep	TITLE	MISC	2
chimney-sweep	TITLE	MISC	2
chiropodist	TITLE	MISC	1
chiropractor	TITLE	MISC	1
choreographer	TITLE	MISC	1
cinematographer	TITLE	MISC	1
civil servant	TITLE	MISC	2
civil-servant	TITLE	MISC	2
civil engineer	TITLE	MISC	2
civil-engineer	TITLE	MISC	2
clarinetist	TITLE	MISC	1
cleaner	TITLE	MISC	1
clergymen	TITLE	MISC	1
clerk	TITLE	MISC	1
climatologist	TITLE	MISC	1
clockmaker	TITLE	MISC	1
clown	TITLE	MISC	1
coach	TITLE	MISC	1
coachman	TITLE	MISC	1
coast guard	TITLE	MISC	2
coast-guard	TITLE	MISC	2
cobbler	TITLE	MISC	1
columnist	TITLE	MISC	1
comedian	TITLE	MISC	1
company secretary	TITLE	MISC	2
company-secretary	TITLE	MISC	2
compasssmith	TITLE	MISC	1
composer	TITLE	MISC	1
computer programmer	TITLE	MISC	2
computer-programmer	TITLE	MISC	2
computer scientist	TITLE	MISC	2
computer-scientist	TITLE	MISC	2
conductor -lrb-music-rrb-	TITLE	MISC	2
conductor lrb music rrb 	TITLE	MISC	2
conductor--lrb-music-rrb-	TITLE	MISC	2
conductor -lrb-transportation-rrb-	TITLE	MISC	2
conductor lrb transportation rrb 	TITLE	MISC	2
conductor--lrb-transportation-rrb-	TITLE	MISC	2
confectioner	TITLE	MISC	1
conferencier	TITLE	MISC	1
congressman	TITLE	MISC	1
congresswoman	TITLE	MISC	1
construction engineering	TITLE	MISC	2
construction-engineering	TITLE	MISC	2
construction foreman	TITLE	MISC	2
construction-foreman	TITLE	MISC	2
construction worker	TITLE	MISC	2
construction-worker	TITLE	MISC	2
consul	TITLE	MISC	1
consultant	TITLE	MISC	1
controller	TITLE	MISC	1
cosmetologist	TITLE	MISC	1
contractor , general	TITLE	MISC	3
contractor-,-general	TITLE	MISC	3
cook	TITLE	MISC	1
copywriter	TITLE	MISC	1
coroner	TITLE	MISC	1
corrections officer	TITLE	MISC	2
corrections-officer	TITLE	MISC	2
corrector	TITLE	MISC	1
correspondent	TITLE	MISC	1
cosmetologist	TITLE	MISC	1
cosmonaut	TITLE	MISC	1
costume designer	TITLE	MISC	2
costume-designer	TITLE	MISC	2
courier	TITLE	MISC	1
court jester	TITLE	MISC	2
court-jester	TITLE	MISC	2
cowboy	TITLE	MISC	1
crafter	TITLE	MISC	1
crammer	TITLE	MISC	1
cryptographer	TITLE	MISC	1
cryptozoologist	TITLE	MISC	1
curator	TITLE	MISC	1
currier	TITLE	MISC	1
custodian	TITLE	MISC	1
customer service representative	TITLE	MISC	3
customer-service-representative	TITLE	MISC	3
customs officer	TITLE	MISC	2
