Perez	CITY	LOCATION	1
Perry	CITY	LOCATION	1
Phoenix	CITY	LOCATION	1
Poole	CITY	LOCATION	1
Powell	CITY	LOCATION	1
Preston	CITY	LOCATION	1
Price	CITY	LOCATION	1
Ramos	CITY	LOCATION	1
Ramsey	CITY	LOCATION	1
Randolph	CITY	LOCATION	1
Ray	CITY	LOCATION	1
Raymond	CITY	LOCATION	1
Reyes	CITY	LOCATION	1
Richardson	CITY	LOCATION	1
Richmond	CITY	LOCATION	1
Rivas	CITY	LOCATION	1
Rivera	CITY	LOCATION	1
Rivers	CITY	LOCATION	1
Robertson	CITY	LOCATION	1
Robinson	CITY	LOCATION	1
Rocha	CITY	LOCATION	1
Rogers	CITY	LOCATION	1
Roman	CITY	LOCATION	1
Rosario	CITY	LOCATION	1
Roth	CITY	LOCATION	1
Roy	CITY	LOCATION	1
Rubio	CITY	LOCATION	1
Ruiz	CITY	LOCATION	1
Rush	CITY	LOCATION	1
Russell	CITY	LOCATION	1
Salas	CITY	LOCATION	1
Salinas	CITY	LOCATION	1
Sanchez	CITY	LOCATION	1
Sanford	CITY	LOCATION	1
Santana	CITY	LOCATION	1
Santiago	CITY	LOCATION	1
Santos	CITY	LOCATION	1
Savage	CITY	LOCATION	1
Schroeder	CITY	LOCATION	1
Shannon	CITY	LOCATION	1
Shelton	CITY	LOCATION	1
Sherman	CITY	LOCATION	1
Singleton	CITY	LOCATION	1
Snyder	CITY	LOCATION	1
Sparks	CITY	LOCATION	1
Spencer	CITY	LOCATION	1
Stafford	CITY	LOCATION	1
Stanley	CITY	LOCATION	1
Stanton	CITY	LOCATION	1
Stein	CITY	LOCATION	1
Stuart	CITY	LOCATION	1
Suarez	CITY	LOCATION	1
Sutton	CITY	LOCATION	1
Tapia	CITY	LOCATION	1
Taylor	CITY	LOCATION	1
Terrell	CITY	LOCATION	1
Thompson	CITY	LOCATION	1
Thornton	CITY	LOCATION	1
Torres	CITY	LOCATION	1
Townsend	CITY	LOCATION	1
Tran	CITY	LOCATION	1
Trujillo	CITY	LOCATION	1
Tucker	CITY	LOCATION	1
Turner	CITY	LOCATION	1
Tyler	CITY	LOCATION	1
Valdez	CITY	LOCATION	1
Valencia	CITY	LOCATION	1
Valenzuela	CITY	LOCATION	1
Vargas	CITY	LOCATION	1
Velez	CITY	LOCATION	1
Villanueva	CITY	LOCATION	1
Walker	CITY	LOCATION	1
Ware	CITY	LOCATION	1
Warren	CITY	LOCATION	1
