<?[a-z0-9._%+-]+@[a-z0-9.-]+\.[a-z]{2,4}>?	EMAIL	2
athletic-trainer	TITLE	MISC	2
attorney	TITLE	MISC	1
auctioneer	TITLE	MISC	1
author	TITLE	MISC	1
automobile racer	TITLE	MISC	2
automobile-racer	TITLE	MISC	2
automotive designer	TITLE	MISC	2
automotive-designer	TITLE	MISC	2
audiologist	TITLE	MISC	1
auditor	TITLE	MISC	1
audio analyser	TITLE	MISC	2
audio-analyser	TITLE	MISC	2
babysitter	TITLE	MISC	1
bachelor	TITLE	MISC	1
bachelorette	TITLE	MISC	1
bacteriologist	TITLE	MISC	1
bailiff	TITLE	MISC	1
baker	TITLE	MISC	1
balloonist	TITLE	MISC	1
bank teller	TITLE	MISC	2
bank-teller	TITLE	MISC	2
banker	TITLE	MISC	1
bar keeper	TITLE	MISC	2
bar-keeper	TITLE	MISC	2
barber	TITLE	MISC	1
bargeman	TITLE	MISC	1
barista	TITLE	MISC	1
barman	TITLE	MISC	1
barrister	TITLE	MISC	1
bartender	TITLE	MISC	1
bassoonist	TITLE	MISC	1
batman	TITLE	MISC	1
beautician	TITLE	MISC	1
beauty specialist	TITLE	MISC	2
beauty-specialist	TITLE	MISC	2
beauty therapist	TITLE	MISC	2
beauty-therapist	TITLE	MISC	2
beekeeper	TITLE	MISC	1
bellhop	TITLE	MISC	1
biographer	TITLE	MISC	1
biologist	TITLE	MISC	1
bishop	TITLE	MISC	1
blacksmith	TITLE	MISC	1
boatman	TITLE	MISC	1
bodyguard	TITLE	MISC	1
boilermaker	TITLE	MISC	1
bookbinder	TITLE	MISC	1
bookkeeper	TITLE	MISC	1
bookseller	TITLE	MISC	1
border patrol police officer	TITLE	MISC	4
border-patrol-police-officer	TITLE	MISC	4
bounty hunter	TITLE	MISC	2
bounty-hunter	TITLE	MISC	2
boxer	TITLE	MISC	1
blacksmith	TITLE	MISC	1
brain surgeon	TITLE	MISC	2
brain-surgeon	TITLE	MISC	2
brewer	TITLE	MISC	1
bricklayer	TITLE	MISC	1
broker	TITLE	MISC	1
builder	TITLE	MISC	1
bureaucrat	TITLE	MISC	1
butcher	TITLE	MISC	1
butler	TITLE	MISC	1
cab driver	TITLE	MISC	2
cab-driver	TITLE	MISC	2
cabinetmaker	TITLE	MISC	1
caddy	TITLE	MISC	1
calligrapher	TITLE	MISC	1
cameraman	TITLE	MISC	1
